Time Stamp= 2010-03-23 03:27:00
0.410	0.015	319.219	40.398	-0.000	4.743	0.592	0.000	1.010	16.980	73.259
0.420	0.010	313.594	48.679	-0.190	3.142	0.375	0.033	0.930	16.980	73.259
0.430	0.011	295.312	52.372	-0.076	2.476	0.193	0.020	0.900	16.980	73.259
0.440	0.014	307.969	45.658	-0.664	3.684	0.473	0.090	0.840	16.980	73.259
0.450	0.011	307.969	54.946	-0.534	2.424	0.186	0.139	0.960	16.980	73.259
0.460	0.008	295.312	45.098	0.122	3.810	0.492	-0.016	1.070	16.980	73.259
0.470	0.007	299.531	48.231	-0.619	3.381	0.432	0.094	1.120	16.980	73.259
0.480	0.007	296.719	58.974	-1.039	2.836	0.473	0.141	0.940	16.980	73.259
0.490	0.007	313.594	52.484	-0.239	3.125	0.422	0.037	1.010	16.980	73.259
0.500	0.006	307.969	59.310	-0.723	2.182	0.109	0.215	1.080	16.980	73.259
0.510	0.007	296.719	59.198	-0.112	2.441	0.256	0.025	0.770	16.980	73.259
0.520	0.006	310.781	56.512	0.953	2.556	0.264	-0.213	0.820	16.980	73.259
0.530	0.005	317.812	59.422	-0.096	2.365	0.217	0.023	0.670	16.980	73.259
0.540	0.007	298.125	60.093	0.727	2.306	0.195	-0.186	0.610	16.980	73.259
0.550	0.005	292.500	58.191	-0.081	2.321	0.172	0.021	0.570	16.980	73.259
0.560	0.009	300.938	44.874	-0.770	3.874	0.502	0.096	0.490	16.980	73.259
0.570	0.008	307.969	47.224	-0.024	3.273	0.396	0.004	0.420	16.980	73.259
0.580	0.005	298.125	49.350	-0.065	2.340	0.160	0.018	0.480	16.980	73.259
Time Stamp= 2010-03-23 07:27:00
0.025	0.000	261.562	53.379	-0.235	2.457	0.189	0.061	2.550	16.980	73.259
0.030	0.000	265.781	63.451	0.357	1.997	0.049	-0.117	2.550	16.980	73.259
0.035	0.001	9.844	79.117	0.703	1.345	-0.369	-0.398	2.550	16.980	73.259
0.040	0.003	268.594	65.129	-0.857	2.132	0.195	0.219	2.550	16.980	73.259
0.045	0.013	257.344	58.415	0.587	2.203	0.111	-0.174	2.550	16.980	73.259
0.050	0.076	240.469	37.936	-2.566	5.141	0.617	0.215	2.550	16.980	73.259
0.055	0.038	253.125	36.257	0.181	6.919	0.754	-0.008	2.550	16.980	73.259
0.060	0.010	277.031	63.115	-0.139	1.872	-0.049	0.053	2.550	16.980	73.259
0.065	0.015	220.781	55.058	1.987	3.274	0.549	-0.213	2.550	16.980	73.259
0.070	0.033	241.875	46.889	-1.050	3.882	0.531	0.119	2.200	16.980	73.259
0.075	0.088	234.844	44.874	2.920	5.462	0.801	-0.092	2.010	16.980	73.259
0.080	0.154	233.438	35.810	-7.698	9.011	0.906	0.078	1.590	16.980	73.259
0.085	0.042	232.031	42.077	4.473	6.047	0.801	-0.141	1.820	16.980	73.259
0.090	0.025	241.875	40.846	-3.786	6.555	0.830	0.094	1.550	16.980	73.259
0.095	0.029	226.406	36.146	-0.800	6.031	0.682	0.051	1.470	16.980	73.259
0.100	0.039	222.188	37.153	5.784	8.187	0.883	-0.082	1.560	16.980	73.259
0.110	0.041	217.969	38.719	-2.507	6.923	0.809	0.074	1.670	16.980	73.259
0.120	0.026	219.375	40.958	-0.603	6.272	0.797	0.020	1.420	16.980	73.259
0.130	0.011	223.594	44.315	1.312	4.307	0.574	-0.129	1.490	16.980	73.259
0.140	0.008	260.156	53.827	-0.375	2.882	0.357	0.068	1.300	16.980	73.259
0.150	0.013	277.031	44.203	-1.272	4.096	0.535	0.143	1.170	16.980	73.259
0.160	0.042	299.531	28.312	-0.061	5.637	0.680	0.004	1.160	16.980	73.259
0.170	0.202	302.344	23.948	-1.521	10.737	0.814	0.043	0.980	16.980	73.259
0.180	0.313	296.719	24.619	-1.049	11.352	0.824	0.027	1.000	16.980	73.259
0.190	0.299	300.938	27.529	-0.422	8.311	0.760	0.018	0.960	16.980	73.259
0.200	0.179	306.562	35.474	-0.510	4.294	0.549	0.055	1.050	16.980	73.259
0.210	0.190	307.969	22.493	1.099	15.264	0.873	-0.018	1.010	16.980	73.259
0.220	0.193	309.375	24.060	-0.357	11.001	0.818	0.010	0.980	16.980	73.259
0.230	0.125	312.188	29.431	0.384	7.810	0.744	-0.018	1.050	16.980	73.259
0.240	0.115	313.594	30.215	-0.745	6.201	0.684	0.047	0.990	16.980	73.259
0.250	0.107	310.781	30.550	-1.017	5.129	0.639	0.078	1.040	16.980	73.259
0.260	0.073	305.156	34.691	-0.057	4.400	0.562	0.006	1.070	16.980	73.259
0.270	0.051	310.781	36.369	-0.633	3.720	0.496	0.080	1.140	16.980	73.259
0.280	0.048	310.781	28.984	-0.971	6.027	0.686	0.061	1.050	16.980	73.259
0.290	0.038	307.969	36.146	0.916	4.600	0.568	-0.092	1.110	16.980	73.259
0.300	0.036	309.375	37.041	0.346	4.584	0.564	-0.035	1.060	16.980	73.259
0.310	0.034	309.375	37.600	0.166	4.465	0.553	-0.018	1.000	16.980	73.259
0.320	0.035	312.188	31.446	-0.586	5.788	0.660	0.041	0.860	16.980	73.259
0.330	0.021	303.750	36.146	-0.000	4.181	0.535	0.000	1.010	16.980	73.259
0.340	0.024	313.594	35.027	-0.368	4.075	0.537	0.041	1.040	16.980	73.259
0.350	0.021	327.656	35.138	-0.895	5.941	0.668	0.061	1.060	16.980	73.259
0.360	0.021	319.219	34.579	-0.293	5.388	0.629	0.023	0.960	16.980	73.259
0.370	0.015	299.531	51.029	0.263	2.975	0.350	-0.049	0.950	16.980	73.259
0.380	0.011	310.781	54.722	-0.242	2.775	0.330	0.047	1.220	16.980	73.259
0.390	0.013	322.031	44.427	-0.385	4.168	0.551	0.041	1.070	16.980	73.259
0.400	0.013	317.812	42.188	-0.434	4.467	0.572	0.043	1.020	16.980	73.259
0.410	0.009	296.719	50.693	-1.050	2.968	0.344	0.197	1.030	16.980	73.259
0.420	0.011	319.219	50.358	-0.559	2.632	0.240	0.131	0.980	16.980	73.259
